set,icon,name,cost,health,armor,ad,attack_range,as,skill_icon,mana,traits
8.5,https://cdn.lolchess.gg/upload/images/champions/Aatrox_1677905239-Aatrox.png,Aatrox,4,1100,60,60,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.8,https://cdn.lolchess.gg/upload/images/champion-skills/Aatrox_1677723713-aatrox_r.png,0/90,['Threat']
8.5,https://cdn.lolchess.gg/upload/images/champions/Alistar_1668168617-Alistar.jpg,Alistar,3,1250,50,50,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.55,https://cdn.lolchess.gg/upload/images/champion-skills/Alistar_1668150891-alistar_q.png,75/175,"['Ox Force', 'Aegis', 'Mascot']"
8.5,https://cdn.lolchess.gg/upload/images/champions/Annie_1668168621-Annie.jpg,Annie,2,750,40,40,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png,0.6,https://cdn.lolchess.gg/upload/images/champion-skills/Annie_1668150240-annie_q.png,30/90,"['Gadgeteen', 'Spellslinger', 'Ox Force']"
8.5,https://cdn.lolchess.gg/upload/images/champions/Ashe_1668168626-Ashe.jpg,Ashe,1,500,15,60,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png,0.7,https://cdn.lolchess.gg/upload/images/champion-skills/Ashe_1668149609-ashe_q.png,0/50,"['LaserCorps', 'Sureshot']"
8.5,https://cdn.lolchess.gg/upload/images/champions/AurelionSol_1668168606-AurelionSol.jpg,Aurelion Sol,4,850,30,40,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png,0.7,https://cdn.lolchess.gg/upload/images/champion-skills/AurelionSol_1668153769-brandpillarofflame.png,30/90,['Threat']
8.5,https://cdn.lolchess.gg/upload/images/champions/Belveth_1668168473-BelVeth.jpg,BelVeth,4,1050,50,80,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png,0.9,https://cdn.lolchess.gg/upload/images/champion-skills/Belveth_1668150342-belveth_passive.belveth.png,0/40,['Threat']
8.5,https://cdn.lolchess.gg/upload/images/champions/Blitzcrank_1668168485-Blitzcrank.jpg,Blitzcrank,1,650,45,50,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.5,https://cdn.lolchess.gg/upload/images/champion-skills/Blitzcrank_1668148964-blitzcrank_manabarrier.png,45/90,"['A.D.M.I.N.', 'Brawler']"
8.5,https://cdn.lolchess.gg/upload/images/champions/Camille_1668168802-Camille.jpg,Camille,2,750,45,65,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.75,https://cdn.lolchess.gg/upload/images/champion-skills/Camille_1668150383-camille_e2.png,0/70,"['A.D.M.I.N.', 'Renegade']"
8.5,https://cdn.lolchess.gg/upload/images/champions/Draven_1668167910-Draven.jpg,Draven,2,600,15,65,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png,0.75,https://cdn.lolchess.gg/upload/images/champion-skills/Draven_1668149896-draven_whirlingdeath.png,70/130,"['Mecha: PRIME', 'Ace']"
8.5,https://cdn.lolchess.gg/upload/images/champions/Ekko_1668168638-Ekko.jpg,Ekko,4,1000,60,60,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.6,https://cdn.lolchess.gg/upload/images/champion-skills/Ekko_1668150223-ekko_e.png,70/140,"['Star Guardian', 'Aegis', 'Prankster']"
8.5,https://cdn.lolchess.gg/upload/images/champions/Ezreal_1668168667-Ezreal.jpg,Ezreal,2,550,20,55,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png,0.7,https://cdn.lolchess.gg/upload/images/champion-skills/Ezreal_1668150313-ezreal_w.png,0/55,"['Underground', 'Parallel', 'Quickdraw']"
8.5,https://cdn.lolchess.gg/upload/images/champions/Fiddlesticks_1668168825-Fiddlesticks.jpg,Fiddlesticks,5,1200,66,50,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.75,https://cdn.lolchess.gg/upload/images/champion-skills/Fiddlesticks_1668150190-darkharvest.png,66/66,"['Threat', 'Corrupted']"
8.5,https://cdn.lolchess.gg/upload/images/champions/Fiora_1668168836-Fiora.jpg,Fiora,2,800,50,50,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.8,https://cdn.lolchess.gg/upload/images/champion-skills/Fiora_1668150450-fiora_w.png,30/80,"['Ox Force', 'Duelist']"
8.5,https://cdn.lolchess.gg/upload/images/champions/Gangplank_1668167844-Gangplank.jpg,Gangplank,1,650,35,45,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.75,https://cdn.lolchess.gg/upload/images/champion-skills/Gangplank_1669345795-gangplank_q.png,0/50,"['Supers', 'Duelist']"
8.5,https://cdn.lolchess.gg/upload/images/champions/Garen_1677905245-Garen.png,Garen,4,1050,60,80,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.6,https://cdn.lolchess.gg/upload/images/champion-skills/Garen_1677574971-garen_r.png,100/200,"['Mecha: PRIME', 'Defender']"
