set,icon,name,cost,health,armor,ad,attack_range,as,skill_icon,mana,traits
4,https://cdn.lolchess.gg/images/tft/champions/set4/Aatrox.png,Aatrox,4,900,70,60,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.65,https://cdn.lolchess.gg/images/tft/champion-skills/aatrox_infernalchains.png,75/150,"['Cultist', 'Vanguard']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Ahri.png,Ahri,4,600,20,40,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png,0.8,https://cdn.lolchess.gg/images/tft/champion-skills/ahri_spiritbomb.png,0/75,"['Spirit', 'Mage']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Akali.png,Akali,3,650,20,55,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.85,https://cdn.lolchess.gg/images/tft/champion-skills/akali_fivepointstrike.png,0/20,"['Ninja', 'Assassin']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Annie.png,Annie,2,750,40,45,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png,0.6,https://cdn.lolchess.gg/images/tft/champion-skills/annie_burstshield.png,0/65,"['Fortune', 'Mage']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Aphelios.png,Aphelios,2,500,20,45,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png,0.75,https://cdn.lolchess.gg/images/tft/champion-skills/aphelios_sentryturret.png,50/80,"['Moonlight', 'Hunter']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Ashe.png,Ashe,4,600,20,80,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png,0.75,https://cdn.lolchess.gg/images/tft/champion-skills/ashe_huntersfocus.png,0/30,"['Elderwood', 'Hunter']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Azir.png,Azir,5,950,30,70,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png,0.85,https://cdn.lolchess.gg/images/tft/champion-skills/azir_warlordsdivide.png,75/150,"['Warlord', 'Emperor']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Cassiopeia.png,Cassiopeia,4,750,30,55,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png,0.6,https://cdn.lolchess.gg/images/tft/champion-skills/cassiopeia_petrifyinggaze.png,80/150,"['Dusk', 'Mystic']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Diana.png,Diana,1,500,30,50,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.65,https://cdn.lolchess.gg/images/tft/champion-skills/diana_palecascade.png,0/70,"['Moonlight', 'Assassin']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Elise.png,Elise,1,600,30,45,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png,0.65,https://cdn.lolchess.gg/images/tft/champion-skills/elise_spiderform.png,0/75,"['Cultist', 'Keeper']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Evelynn.png,Evelynn,3,600,20,70,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.7,https://cdn.lolchess.gg/images/tft/champion-skills/evelynn_lastcaress.png,0/60,"['Cultist', 'Shade']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Ezreal.png,Ezreal,5,750,20,80,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png,0.9,https://cdn.lolchess.gg/images/tft/champion-skills/ezreal_trueshotbarrage.png,90/150,"['Elderwood', 'Dazzler']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Fiora.png,Fiora,1,600,35,45,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.75,https://cdn.lolchess.gg/images/tft/champion-skills/fiora_riposte.png,0/75,"['Enlightened', 'Duelist']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Garen.png,Garen,1,600,50,50,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.6,https://cdn.lolchess.gg/images/tft/champion-skills/garen_judgement.png,0/100,"['Warlord', 'Vanguard']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Hecarim.png,Hecarim,2,750,45,55,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.55,https://cdn.lolchess.gg/images/tft/champion-skills/hecarim_spiritoflife.png,0/110,"['Elderwood', 'Vanguard']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Irelia.png,Irelia,3,800,40,55,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.65,https://cdn.lolchess.gg/images/tft/champion-skills/irelia_bladestorm.png,50/100,"['Divine', 'Adept']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Janna.png,Janna,2,550,20,40,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png,0.6,https://cdn.lolchess.gg/images/tft/champion-skills/janna_eyeofthestorm.png,30/60,"['Enlightened', 'Mystic']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Jarvaniv.png,Jarvan IV,2,600,45,60,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.6,https://cdn.lolchess.gg/images/tft/champion-skills/jarvaniv_dragonstrike.png,50/100,"['Warlord', 'Keeper']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Jax.png,Jax,2,750,40,60,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.75,https://cdn.lolchess.gg/images/tft/champion-skills/jax_counterstrike.png,60/110,"['Divine', 'Duelist']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Jhin.png,Jhin,4,600,20,100,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png,0.85,https://cdn.lolchess.gg/images/tft/champion-skills/jhin_whisper.png,-,"['Cultist', 'Sharpshooter']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Jinx.png,Jinx,3,650,20,75,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png,0.75,https://cdn.lolchess.gg/images/tft/champion-skills/jinx_fishbones.png,70/120,"['Fortune', 'Sharpshooter']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Kalista.png,Kalista,3,650,20,65,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png,0.9,https://cdn.lolchess.gg/images/tft/champion-skills/kalista_rend.png,-,"['Cultist', 'Duelist']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Katarina.png,Katarina,3,500,20,65,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.65,https://cdn.lolchess.gg/images/tft/champion-skills/katarina_deathlotus.png,0/90,"['Warlord', 'Assassin']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Kayn.png,Kayn,5,900,40,80,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,1.0,https://cdn.lolchess.gg/images/tft/champion-skills/kayn_reaper.png,0/50,"['Tormented', 'Shade']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Kennen.png,Kennen,3,650,30,60,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png,0.65,https://cdn.lolchess.gg/images/tft/champion-skills/kennen_slicingmaelstrom.png,50/125,"['Ninja', 'Keeper']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Kindred.png,Kindred,3,650,20,70,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png,0.8,https://cdn.lolchess.gg/images/tft/champion-skills/kindred_danceofdread.png,0/35,"['Spirit', 'Hunter']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Leesin.png,Lee Sin,5,1000,60,60,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.85,https://cdn.lolchess.gg/images/tft/champion-skills/leesin_godfist.png,0/40,"['Divine', 'Duelist']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Lillia.png,Lillia,5,950,50,40,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png,0.75,https://cdn.lolchess.gg/images/tft/champion-skills/lillia_liltinglullaby.png,80/120,"['Dusk', 'Mage']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Lissandra.png,Lissandra,1,550,20,40,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png,0.6,https://cdn.lolchess.gg/images/tft/champion-skills/lissandra_1000daggers.png,0/50,"['Moonlight', 'Dazzler']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Lulu.png,Lulu,2,500,20,50,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png,0.6,https://cdn.lolchess.gg/images/tft/champion-skills/lulu_wildgrowth.png,80/150,"['Elderwood', 'Mage']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Lux.png,Lux,3,600,20,40,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png,0.7,https://cdn.lolchess.gg/images/tft/champion-skills/lux_luridbinding.png,40/100,"['Divine', 'Dazzler']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Maokai.png,Maokai,1,700,40,55,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.5,https://cdn.lolchess.gg/images/tft/champion-skills/maokai_bramblesmash.png,0/75,"['Elderwood', 'Brawler']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Morgana.png,Morgana,4,850,60,50,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png,0.7,https://cdn.lolchess.gg/images/tft/champion-skills/morgana_hallowedground.png,60/120,"['Enlightened', 'Dazzler']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Nami.png,Nami,1,550,20,40,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png,0.65,https://cdn.lolchess.gg/images/tft/champion-skills/nami_aquaprison.png,60/100,"['Enlightened', 'Mage']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Nidalee.png,Nidalee,1,550,30,45,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png,0.7,https://cdn.lolchess.gg/images/tft/champion-skills/nidalee_javelintoss.png,0/80,"['Warlord', 'Sharpshooter']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Nunu.png,Nunu,3,750,50,65,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.55,https://cdn.lolchess.gg/images/tft/champion-skills/nunu_consume.png,0/85,"['Elderwood', 'Brawler']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Pyke.png,Pyke,2,700,50,50,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.6,https://cdn.lolchess.gg/images/tft/champion-skills/pyke_phantomundertow.png,75/125,"['Cultist', 'Assassin']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Riven.png,Riven,4,800,35,70,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.75,https://cdn.lolchess.gg/images/tft/champion-skills/riven_energyslash.png,0/20,"['Dusk', 'Keeper']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Sejuani.png,Sejuani,4,1000,60,45,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.55,https://cdn.lolchess.gg/images/tft/champion-skills/sejuani_firecracker.png,70/150,"['Fortune', 'Vanguard']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Sett.png,Sett,5,1100,60,60,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.75,https://cdn.lolchess.gg/images/tft/champion-skills/sett_showstopper.png,100/175,"['The Boss', 'Brawler']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Shen.png,Shen,4,950,60,60,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.65,https://cdn.lolchess.gg/images/tft/champion-skills/shen_shadowdash.png,50/100,"['Ninja', 'Adept']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Sylas.png,Sylas,2,700,40,70,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.6,https://cdn.lolchess.gg/images/tft/champion-skills/sylas_chainlash.png,30/60,"['Moonlight', 'Brawler']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Tahmkench.png,Tahm Kench,1,700,40,85,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.5,https://cdn.lolchess.gg/images/tft/champion-skills/tahmkench_thickskin.png,-,"['Fortune', 'Brawler']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Talon.png,Talon,4,800,30,90,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.8,https://cdn.lolchess.gg/images/tft/champion-skills/talon_truestrike.png,0/40,"['Enlightened', 'Assassin']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Teemo.png,Teemo,2,500,20,55,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png,0.7,https://cdn.lolchess.gg/images/tft/champion-skills/teemo_sporeclouddart.png,0/60,"['Spirit', 'Sharpshooter']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Thresh.png,Thresh,2,700,80,60,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png,0.55,https://cdn.lolchess.gg/images/tft/champion-skills/thresh_spectrallantern.png,50/100,"['Dusk', 'Vanguard']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Twistedfate.png,TwistedFate,1,550,20,45,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png,0.65,https://cdn.lolchess.gg/images/tft/champion-skills/twistedfate_wildcards.png,0/70,"['Cultist', 'Mage']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Vayne.png,Vayne,1,500,20,40,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png,0.9,https://cdn.lolchess.gg/images/tft/champion-skills/vayne_silverbolts.png,-,"['Dusk', 'Sharpshooter']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Veigar.png,Veigar,3,600,20,40,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png,0.6,https://cdn.lolchess.gg/images/tft/champion-skills/veigar_darkblossom.png,0/55,"['Elderwood', 'Mage']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Vi.png,Vi,2,700,40,65,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.6,https://cdn.lolchess.gg/images/tft/champion-skills/vi_dentingblow.png,0/50,"['Warlord', 'Brawler']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Warwick.png,Warwick,4,950,40,85,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.8,https://cdn.lolchess.gg/images/tft/champion-skills/warwick_primalhunger.png,0/70,"['Divine', 'Brawler']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Monkeyking.png,Wukong,1,650,40,55,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.65,https://cdn.lolchess.gg/images/tft/champion-skills/monkeyking_crushingblow.png,0/50,"['Divine', 'Vanguard']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Xinzhao.png,Xin Zhao,3,700,45,65,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.85,https://cdn.lolchess.gg/images/tft/champion-skills/xinzhao_crescentguard.png,30/60,"['Warlord', 'Duelist']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Yasuo.png,Yasuo,1,550,30,50,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.7,https://cdn.lolchess.gg/images/tft/champion-skills/yasuo_strikingsteel.png,0/45,"['Exile', 'Duelist']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Yone.png,Yone,5,950,40,80,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png,0.95,https://cdn.lolchess.gg/images/tft/champion-skills/yone_sealfate.png,0/60,"['Exile', 'Adept']"
4,https://cdn.lolchess.gg/images/tft/champions/set4/Yuumi.png,Yuumi,3,650,20,40,https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png,0.6,https://cdn.lolchess.gg/images/tft/champion-skills/yuumi_zoomies.png,0/40,"['Spirit', 'Mystic']"
