"set","icon","name","cost","origin","class","class_extra","health","armor","ad","attack_range","as","skill_icon","mana"
"https://lolchess.gg/champions/set11/aatrox","https://cdn.lolchess.gg/upload/images/champions/Aatrox_1709255107-Aatrox.jpg","Aatrox","2","Ghostly","Inkshadow","Bruiser","700","45","55","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.70","https://cdn.lolchess.gg/upload/images/champion-skills/Aatrox_1709109373-aatrox_q.png","0/60"
"https://lolchess.gg/champions/set11/ahri","https://cdn.lolchess.gg/upload/images/champions/Ahri_1709255120-Ahri.jpg","Ahri","1","Fated","","Arcanist","500","15","30","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Ahri_1698368812-icons_ahri_e.png","0/60"
"https://lolchess.gg/champions/set11/alune","https://cdn.lolchess.gg/upload/images/champions/Alune_1709255131-Alune.jpg","Alune","3","Umbral","","Invoker","650","25","55","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Alune_1709169783-diana_q_moonsedge.png","0/60"
"https://lolchess.gg/champions/set11/amumu","https://cdn.lolchess.gg/upload/images/champions/Amumu_1709255139-Amumu.jpg","Amumu","3","Porcelain","","Warden","900","50","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.60","https://cdn.lolchess.gg/upload/images/champion-skills/Amumu_1709100254-amumu_w.png","40/80"
"https://lolchess.gg/champions/set11/annie","https://cdn.lolchess.gg/upload/images/champions/Annie_1709255151-Annie.jpg","Annie","4","Fortune","","Invoker","1000","60","55","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.65","https://cdn.lolchess.gg/upload/images/champion-skills/Annie_1720842913-annie_e.png","70/120"
"https://lolchess.gg/champions/set11/aphelios","https://cdn.lolchess.gg/upload/images/champions/Aphelios_1709255158-Aphelios.jpg","Aphelios","3","Fated","","Sniper","650","25","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Aphelios_1709172765-q_infernum.png","40/100"
"https://lolchess.gg/champions/set11/ashe","https://cdn.lolchess.gg/upload/images/champions/Ashe_1709255167-Ashe.jpg","Ashe","4","Porcelain","","Sniper","850","30","70","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.80","https://cdn.lolchess.gg/upload/images/champion-skills/Ashe_1709085929-ashe_q.png","30/90"
"https://lolchess.gg/champions/set11/azir","https://cdn.lolchess.gg/upload/images/champions/Azir_1709255176-Azir.jpg","Azir","5","Dryad","","Invoker","900","35","45","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.85","https://cdn.lolchess.gg/upload/images/champion-skills/Azir_1709172965-azir_passive.png","70/130"
"https://lolchess.gg/champions/set11/bard","https://cdn.lolchess.gg/upload/images/champions/Bard_1709255184-Bard.jpg","Bard","3","Mythic","","Trickshot","650","25","54","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.80","https://cdn.lolchess.gg/upload/images/champion-skills/Bard_1698373810-bard_meeps.png","0/50"
"https://lolchess.gg/champions/set11/caitlyn","https://cdn.lolchess.gg/upload/images/champions/Caitlyn_1709255231-Caitlyn.jpg","Caitlyn","1","Ghostly","","Sniper","500","15","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.70","https://cdn.lolchess.gg/upload/images/champion-skills/Caitlyn_1698377944-caitlyn_aceinthehole.png","0/105"
"https://lolchess.gg/champions/set11/chogath","https://cdn.lolchess.gg/upload/images/champions/ChoGath_1709255240-ChoGath.jpg","Cho'Gath","1","Mythic","","Behemoth","650","40","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.55","https://cdn.lolchess.gg/upload/images/champion-skills/ChoGath_1709099711-greenterror_feralscream.png","40/90"
"https://lolchess.gg/champions/set11/darius","https://cdn.lolchess.gg/upload/images/champions/Darius_1709255251-Darius.jpg","Darius","1","Umbral","","Duelist","650","40","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.70","https://cdn.lolchess.gg/upload/images/champion-skills/Darius_1709099642-darius_icon_decimate%20(1).png","0/30"
"https://lolchess.gg/champions/set11/diana","https://cdn.lolchess.gg/upload/images/champions/Diana_1709255262-Diana.jpg","Diana","3","Dragonlord","","Sage","900","55","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.80","https://cdn.lolchess.gg/upload/images/champion-skills/Diana_1709085351-diana_r_moonfall.png","50/100"
"https://lolchess.gg/champions/set11/galio","https://cdn.lolchess.gg/upload/images/champions/Galio_1709255320-Galio.jpg","Galio","4","Storyweaver","","Bruiser","1150","60","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.60","https://cdn.lolchess.gg/upload/images/champion-skills/Galio_1713743911-galio_r.png","70/120"
"https://lolchess.gg/champions/set11/garen","https://cdn.lolchess.gg/upload/images/champions/Garen_1709255348-Garen.jpg","Garen","1","Storyweaver","","Warden","600","40","55","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.60","https://cdn.lolchess.gg/upload/images/champion-skills/Garen_1709106051-garen_w.png","30/80"
"https://lolchess.gg/champions/set11/gnar","https://cdn.lolchess.gg/upload/images/champions/Gnar_1709255371-Gnar.jpg","Gnar","2","Dryad","","Warden","700","45","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.70","https://cdn.lolchess.gg/upload/images/champion-skills/Gnar_1709110403-gnarbig_w.png","10/60"
"https://lolchess.gg/champions/set11/hwei","https://cdn.lolchess.gg/upload/images/champions/Hwei_1709255387-Hwei.jpg","Hwei","5","Mythic","","Artist","900","40","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.80","https://cdn.lolchess.gg/upload/images/champion-skills/Hwei_1709086601-hweir.png","30/105"
"https://lolchess.gg/champions/set11/illaoi","https://cdn.lolchess.gg/upload/images/champions/Illaoi_1709255396-Illaoi.jpg","Illaoi","3","Ghostly","Warden","Arcanist","900","50","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.60","https://cdn.lolchess.gg/upload/images/champion-skills/Illaoi_1698367902-illaoi_p.png","30/90"
"https://lolchess.gg/champions/set11/irelia","https://cdn.lolchess.gg/upload/images/champions/Irelia_1709255405-Irelia.jpg","Irelia","5","Storyweaver","","Duelist","900","40","80","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance307.png","0.90","https://cdn.lolchess.gg/upload/images/champion-skills/Irelia_1709086888-irelia_r.png","0/8"
"https://lolchess.gg/champions/set11/janna","https://cdn.lolchess.gg/upload/images/champions/Janna_1709255418-Janna.jpg","Janna","2","Dragonlord","","Invoker","600","20","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Janna_1709100031-jannae.png","25/75"
"https://lolchess.gg/champions/set11/jax","https://cdn.lolchess.gg/upload/images/champions/Jax_1709255440-Jax.jpg","Jax","1","Inkshadow","","Warden","650","40","45","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.65","https://cdn.lolchess.gg/upload/images/champion-skills/Jax_1698373985-jaxe.jaxupdate.png","20/60"
