"set","icon","name","cost","origin","class","health","armor","ad","attack_range","as","skill_icon","mana"
"https://lolchess.gg/champions/set1/aatrox","https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Aatrox.png","Aatrox","3","Demon","Blademaster","700","35","65","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.65","https://cdn.lolchess.gg/images/tft/champion-skills/aatrox_thedarkinblade.png","0/75"
"https://lolchess.gg/champions/set1/ahri","https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Ahri.png","Ahri","2","Wild","Sorcerer","450","20","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png","0.55","https://cdn.lolchess.gg/images/tft/champion-skills/ahri_orbofdeception.png","0/75"
"https://lolchess.gg/champions/set1/akali","https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Akali.png","Akali","4","Ninja","Assassin","650","20","80","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.80","https://cdn.lolchess.gg/images/tft/champion-skills/akali_fivepointstrike.png","0/25"
"https://lolchess.gg/champions/set1/anivia","https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Anivia.png","Anivia","5","Glacial","Elementalist","750","20","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png","0.80","https://cdn.lolchess.gg/images/tft/champion-skills/anivia_glacialstorm.png","50/125"
"https://lolchess.gg/champions/set1/ashe","https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Ashe.png","Ashe","3","Glacial","Ranger","550","20","65","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.70","https://cdn.lolchess.gg/images/tft/champion-skills/ashe_enchantedcrystalarrow.png","0/125"
"https://lolchess.gg/champions/set1/aurelionsol","https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/AurelionSol.png","Aurelion Sol","4","Dragon","Sorcerer","650","20","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png","0.60","https://cdn.lolchess.gg/images/tft/champion-skills/aurelionsol_voiceoflight.png","0/125"
"https://lolchess.gg/champions/set1/blitzcrank","https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Blitzcrank.png","Blitzcrank","2","Robot","Brawler","650","35","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.50","https://cdn.lolchess.gg/images/tft/champion-skills/blitzcrank_rocketgrab.png","0/125"
"https://lolchess.gg/champions/set1/brand","https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Brand.png","Brand","4","Demon","Elementalist","700","25","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png","0.60","https://cdn.lolchess.gg/images/tft/champion-skills/brand_pyroclasm.png","50/150"
"https://lolchess.gg/champions/set1/braum","https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Braum.png","Braum","2","Glacial","Guardian","650","75","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.60","https://cdn.lolchess.gg/images/tft/champion-skills/braum_unbreakable.png","0/75"
"https://lolchess.gg/champions/set1/camille","https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Camille.png","Camille","1","Hextech","Blademaster","550","30","55","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.60","https://cdn.lolchess.gg/images/tft/champion-skills/camille_thehextechultimatum.png","75/125"
