"set","icon","name","cost","origin","class","health","armor","ad","attack_range","as","skill_icon","mana"
"https://lolchess.gg/champions/set4.5/aatrox","https://cdn.lolchess.gg/images/tft/champions/set4.5/Aatrox.png","Aatrox","4","Cultist","Vanguard","850","70","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.65","https://cdn.lolchess.gg/images/tft/champion-skills/aatrox_infernalchains.png","75/150"
"https://lolchess.gg/champions/set4.5/akali","https://cdn.lolchess.gg/images/tft/champions/set4.5/Akali.png","Akali","3","Ninja","Assassin","650","20","55","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.85","https://cdn.lolchess.gg/images/tft/champion-skills/akali_fivepointstrike.png","0/20"
"https://lolchess.gg/champions/set4.5/annie","https://cdn.lolchess.gg/images/tft/champions/set4.5/Annie.png","Annie","2","Fortune","Mage","750","40","45","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png","0.60","https://cdn.lolchess.gg/images/tft/champion-skills/annie_burstshield.png","0/65"
"https://lolchess.gg/champions/set4.5/aurelionsol","https://cdn.lolchess.gg/images/tft/champions/set4.5/Aurelionsol.png","Aurelion Sol","4","Dragonsoul","Mage","650","20","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.75","https://cdn.lolchess.gg/images/tft/champion-skills/aurelionsol_voiceoflightning.png","0/80"
"https://lolchess.gg/champions/set4.5/azir","https://cdn.lolchess.gg/images/tft/champions/set4.5/Azir.png","Azir","5","Warlord","Emperor","950","30","70","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.85","https://cdn.lolchess.gg/images/tft/champion-skills/azir_warlordsdivide.png","75/150"
"https://lolchess.gg/champions/set4.5/brand","https://cdn.lolchess.gg/images/tft/champions/set4.5/Brand.png","Brand","1","Dragonsoul","Mage","500","20","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.65","https://cdn.lolchess.gg/images/tft/champion-skills/brand_dragonfirepillar.png","0/60"
"https://lolchess.gg/champions/set4.5/braum","https://cdn.lolchess.gg/images/tft/champions/set4.5/Braum.png","Braum","2","Dragonsoul","Vanguard","800","60","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.75","https://cdn.lolchess.gg/images/tft/champion-skills/braum_unbreakable.png","30/60"
"https://lolchess.gg/champions/set4.5/chogath","https://cdn.lolchess.gg/images/tft/champions/set4.5/Chogath.png","Cho'Gath","4","Fabled","Brawler","1400","70","100","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.60","https://cdn.lolchess.gg/images/tft/champion-skills/chogath_rupture.png","100/180"
"https://lolchess.gg/champions/set4.5/darius","https://cdn.lolchess.gg/images/tft/champions/set4.5/Darius.png","Darius","3","Fortune","Slayer","800","60","70","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.70","https://cdn.lolchess.gg/images/tft/champion-skills/darius_fortunesguillotine.png","0/50"
"https://lolchess.gg/champions/set4.5/diana","https://cdn.lolchess.gg/images/tft/champions/set4.5/Diana.png","Diana","1","Spirit","Assassin","550","30","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.70","https://cdn.lolchess.gg/images/tft/champion-skills/diana_palecascade.png","0/70"
"https://lolchess.gg/champions/set4.5/elise","https://cdn.lolchess.gg/images/tft/champions/set4.5/Elise.png","Elise","1","Cultist","Keeper","600","30","45","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png","0.65","https://cdn.lolchess.gg/images/tft/champion-skills/elise_spiderform.png","0/75"
"https://lolchess.gg/champions/set4.5/fiora","https://cdn.lolchess.gg/images/tft/champions/set4.5/Fiora.png","Fiora","1","Enlightened","Duelist","600","35","45","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.75","https://cdn.lolchess.gg/images/tft/champion-skills/fiora_riposte.png","0/95"
"https://lolchess.gg/champions/set4.5/garen","https://cdn.lolchess.gg/images/tft/champions/set4.5/Garen.png","Garen","1","Warlord","Vanguard","600","50","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.60","https://cdn.lolchess.gg/images/tft/champion-skills/garen_judgement.png","0/100"
"https://lolchess.gg/champions/set4.5/irelia","https://cdn.lolchess.gg/images/tft/champions/set4.5/Irelia.png","Irelia","3","Divine","Adept","800","40","55","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.65","https://cdn.lolchess.gg/images/tft/champion-skills/irelia_bladestorm.png","50/100"
"https://lolchess.gg/champions/set4.5/janna","https://cdn.lolchess.gg/images/tft/champions/set4.5/Janna.png","Janna","2","Enlightened","Mystic","550","20","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.60","https://cdn.lolchess.gg/images/tft/champion-skills/janna_eyeofthestorm.png","40/70"
"https://lolchess.gg/champions/set4.5/jarvaniv","https://cdn.lolchess.gg/images/tft/champions/set4.5/Jarvaniv.png","Jarvan IV","2","Warlord","Keeper","600","45","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.60","https://cdn.lolchess.gg/images/tft/champion-skills/jarvaniv_dragonstrike.png","50/100"
"https://lolchess.gg/champions/set4.5/jax","https://cdn.lolchess.gg/images/tft/champions/set4.5/Jax.png","Jax","2","Divine","Duelist","750","40","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.75","https://cdn.lolchess.gg/images/tft/champion-skills/jax_counterstrike.png","60/110"
"https://lolchess.gg/champions/set4.5/kalista","https://cdn.lolchess.gg/images/tft/champions/set4.5/Kalista.png","Kalista","3","Cultist","Duelist","650","20","65","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png","1.00","https://cdn.lolchess.gg/images/tft/champion-skills/kalista_rend.png","-"
"https://lolchess.gg/champions/set4.5/katarina","https://cdn.lolchess.gg/images/tft/champions/set4.5/Katarina.png","Katarina","3","Fortune","Assassin","500","20","65","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.65","https://cdn.lolchess.gg/images/tft/champion-skills/katarina_deathlotus.png","0/90"
"https://lolchess.gg/champions/set4.5/kayle","https://cdn.lolchess.gg/images/tft/champions/set4.5/Kayle.png","Kayle","4","Divine","Executioner","650","20","75","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png","0.90","https://cdn.lolchess.gg/images/tft/champion-skills/kayle_ascend.png","0/60"
"https://lolchess.gg/champions/set4.5/kennen","https://cdn.lolchess.gg/images/tft/champions/set4.5/Kennen.png","Kennen","3","Ninja","Keeper","650","30","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png","0.65","https://cdn.lolchess.gg/images/tft/champion-skills/kennen_slicingmaelstrom.png","50/125"
"https://lolchess.gg/champions/set4.5/kindred","https://cdn.lolchess.gg/images/tft/champions/set4.5/Kindred.png","Kindred","3","Spirit","Executioner","650","20","70","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png","0.80","https://cdn.lolchess.gg/images/tft/champion-skills/kindred_danceofdread.png","0/35"
"https://lolchess.gg/champions/set4.5/leesin","https://cdn.lolchess.gg/images/tft/champions/set4.5/Leesin.png","Lee Sin","5","Divine","Duelist","999","60","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.85","https://cdn.lolchess.gg/images/tft/champion-skills/leesin_godfist.png","0/40"
"https://lolchess.gg/champions/set4.5/lulu","https://cdn.lolchess.gg/images/tft/champions/set4.5/Lulu.png","Lulu","2","Elderwood","Mage","500","20","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png","0.60","https://cdn.lolchess.gg/images/tft/champion-skills/lulu_wildgrowth.png","75/140"
"https://lolchess.gg/champions/set4.5/maokai","https://cdn.lolchess.gg/images/tft/champions/set4.5/Maokai.png","Maokai","1","Elderwood","Brawler","700","40","55","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.50","https://cdn.lolchess.gg/images/tft/champion-skills/maokai_bramblesmash.png","0/75"
"https://lolchess.gg/champions/set4.5/morgana","https://cdn.lolchess.gg/images/tft/champions/set4.5/Morgana.png","Morgana","4","Enlightened","Syphoner","750","60","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png","0.70","https://cdn.lolchess.gg/images/tft/champion-skills/morgana_hallowedground.png","60/120"
"https://lolchess.gg/champions/set4.5/nasus","https://cdn.lolchess.gg/images/tft/champions/set4.5/Nasus.png","Nasus","1","Divine","Syphoner","650","50","45","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.65","https://cdn.lolchess.gg/images/tft/champion-skills/nasus_wither.png","0/70"
"https://lolchess.gg/champions/set4.5/nautilus","https://cdn.lolchess.gg/images/tft/champions/set4.5/Nautilus.png","Nautilus","2","Fabled","Vanguard","750","55","55","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.60","https://cdn.lolchess.gg/images/tft/champion-skills/nautilus_impactcrater.png","85/150"
"https://lolchess.gg/champions/set4.5/neeko","https://cdn.lolchess.gg/images/tft/champions/set4.5/Neeko.png","Neeko","3","Fabled","Mystic","700","20","45","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png","0.70","https://cdn.lolchess.gg/images/tft/champion-skills/neeko_popblossom.png","0/70"
"https://lolchess.gg/champions/set4.5/nidalee","https://cdn.lolchess.gg/images/tft/champions/set4.5/Nidalee.png","Nidalee","1","Warlord","Sharpshooter","550","30","45","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.70","https://cdn.lolchess.gg/images/tft/champion-skills/nidalee_javelintoss.png","0/60"
"https://lolchess.gg/champions/set4.5/nunu","https://cdn.lolchess.gg/images/tft/champions/set4.5/Nunu.png","Nunu","3","Elderwood","Brawler","750","50","65","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.55","https://cdn.lolchess.gg/images/tft/champion-skills/nunu_consume.png","0/85"
"https://lolchess.gg/champions/set4.5/olaf","https://cdn.lolchess.gg/images/tft/champions/set4.5/Olaf.png","Olaf","4","Dragonsoul","Slayer","900","60","85","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.80","https://cdn.lolchess.gg/images/tft/champion-skills/olaf_ragnarok.png","0/70"
"https://lolchess.gg/champions/set4.5/ornn","https://cdn.lolchess.gg/images/tft/champions/set4.5/Ornn.png","Ornn","5","Elderwood","Blacksmith","900","50","100","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.55","https://cdn.lolchess.gg/images/tft/champion-skills/ornn_stampede.png","80/160"
"https://lolchess.gg/champions/set4.5/pyke","https://cdn.lolchess.gg/images/tft/champions/set4.5/Pyke.png","Pyke","2","Cultist","Assassin","700","50","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.60","https://cdn.lolchess.gg/images/tft/champion-skills/pyke_phantomundertow.png","60/120"
"https://lolchess.gg/champions/set4.5/rakan","https://cdn.lolchess.gg/images/tft/champions/set4.5/Rakan.png","Rakan","2","Elderwood","Keeper","600","40","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png","0.70","https://cdn.lolchess.gg/images/tft/champion-skills/rakan_disarmingdiversion.png","60/120"
"https://lolchess.gg/champions/set4.5/samira","https://cdn.lolchess.gg/images/tft/champions/set4.5/Samira.png","Samira","5","Daredevil","Sharpshooter","900","30","65","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png","0.85","https://cdn.lolchess.gg/images/tft/champion-skills/samira_infernotrigger.png","-"
"https://lolchess.gg/champions/set4.5/sejuani","https://cdn.lolchess.gg/images/tft/champions/set4.5/Sejuani.png","Sejuani","4","Fortune","Vanguard","1000","60","45","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.55","https://cdn.lolchess.gg/images/tft/champion-skills/sejuani_firecracker.png","80/160"
"https://lolchess.gg/champions/set4.5/sett","https://cdn.lolchess.gg/images/tft/champions/set4.5/Sett.png","Sett","5","The Boss","Brawler","1100","60","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.75","https://cdn.lolchess.gg/images/tft/champion-skills/sett_showstopper.png","100/175"
