"set","icon","name","cost","origin","class","health","armor","ad","attack_range","as","skill_icon","mana","class_extra"
"https://lolchess.gg/champions/set6/akali","https://cdn.lolchess.gg/upload/images/champions/Akali_1634784820.png","Akali","5","Syndicate","Assassin","850","30","70","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.90","https://cdn.lolchess.gg/upload/images/champion-skills/Akali_1643854716.png","0/40",""
"https://lolchess.gg/champions/set6/blitzcrank","https://ddragon.leagueoflegends.com/cdn/14.19.1/img/champion/Blitzcrank.png","Blitzcrank","2","Scrap","Bodyguard","650","45","65","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.50","https://cdn.lolchess.gg/upload/images/champion-skills/Blitzcrank_1643854444.png","175/175","Protector"
"https://lolchess.gg/champions/set6/braum","https://cdn.lolchess.gg/upload/images/champions/Braum_1634784638.png","Braum","4","Syndicate","Bodyguard","1100","60","70","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.60","https://cdn.lolchess.gg/upload/images/champion-skills/Braum_1643854410.png","120/200",""
"https://lolchess.gg/champions/set6/caitlyn","https://cdn.lolchess.gg/upload/images/champions/Caitlyn_1635139772.png","Caitlyn","1","Enforcer","Sniper","500","15","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance305.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Caitlyn_1643856077.png","0/110",""
"https://lolchess.gg/champions/set6/camille","https://ddragon.leagueoflegends.com/cdn/14.19.1/img/champion/Camille.png","Camille","1","Clockwork","Challenger","700","40","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.60","https://cdn.lolchess.gg/upload/images/champion-skills/Camille_1643855229.png","0/60",""
"https://lolchess.gg/champions/set6/chogath","https://ddragon.leagueoflegends.com/cdn/14.19.1/img/champion/Chogath.png","ChoGath","3","Mutant","Bruiser","1300","50","90","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.55","https://cdn.lolchess.gg/upload/images/champion-skills/ChoGath_1643855198.png","100/165","Colossus"
"https://lolchess.gg/champions/set6/darius","https://cdn.lolchess.gg/upload/images/champions/Darius_1634784329.png","Darius","1","Syndicate","Bodyguard","650","40","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.50","https://cdn.lolchess.gg/upload/images/champion-skills/Darius_1643854041.png","70/120",""
"https://lolchess.gg/champions/set6/drmundo","https://ddragon.leagueoflegends.com/cdn/14.19.1/img/champion/DrMundo.png","DrMundo","4","Chemtech","Bruiser","1000","50","80","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.60","https://cdn.lolchess.gg/upload/images/champion-skills/DrMundo_1643854226.png","75/150","Mutant"
"https://lolchess.gg/champions/set6/ekko","https://ddragon.leagueoflegends.com/cdn/14.19.1/img/champion/Ekko.png","Ekko","3","Scrap","Assassin","650","30","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.80","https://cdn.lolchess.gg/upload/images/champion-skills/Ekko_1643854752.png","80/120",""
"https://lolchess.gg/champions/set6/ezreal","https://ddragon.leagueoflegends.com/cdn/14.19.1/img/champion/Ezreal.png","Ezreal","1","Scrap","Innovator","500","15","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.65","https://cdn.lolchess.gg/upload/images/champion-skills/Ezreal_1643854926.png","0/40",""
