"set","icon","name","cost","origin","class","health","armor","ad","attack_range","as","skill_icon","mana","class_extra"
"https://lolchess.gg/champions/set10/ahri","https://cdn.lolchess.gg/upload/images/champions/Ahri_1698737621-Ahri.jpg","Ahri","4","K/DA","Spellweaver","700","30","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Ahri_1698368812-icons_ahri_e.png","0/30",""
"https://lolchess.gg/champions/set10/akali2","https://cdn.lolchess.gg/upload/images/champions/Akali2_1698737634-Akali.jpg","Akali (K/DA)","4","K/DA","Breakout","950","50","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.85","https://cdn.lolchess.gg/upload/images/champion-skills/Akali2_1698398503-akali_e.png","10/50","Executioner"
"https://lolchess.gg/champions/set10/akali","https://cdn.lolchess.gg/upload/images/champions/Akali_1698737639-Akali_TrueDamage.jpg","Akali (True Damage)","4","True Damage","Breakout","1000","65","70","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.90","https://cdn.lolchess.gg/upload/images/champion-skills/Akali_1698377172-akali_q2.png","0/60","Executioner"
"https://lolchess.gg/champions/set10/amumu","https://cdn.lolchess.gg/upload/images/champions/Amumu_1698737628-Amumu.jpg","Amumu","3","Emo","Guardian","900","55","45","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.65","https://cdn.lolchess.gg/upload/images/champion-skills/Amumu_1698375698-amumu_e.png","0/45",""
"https://lolchess.gg/champions/set10/annie","https://cdn.lolchess.gg/upload/images/champions/Annie_1698737698-Annie.jpg","Annie","1","Emo","Spellweaver","450","20","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.65","https://cdn.lolchess.gg/upload/images/champion-skills/Annie_1698377487-annie_q.png","0/50",""
"https://lolchess.gg/champions/set10/aphelios","https://cdn.lolchess.gg/upload/images/champions/Aphelios_1698737692-Aphelios.jpg","Aphelios","2","Heartsteel","Rapidfire","600","20","55","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Aphelios_1698373938-apheliosr.png","40/110",""
"https://lolchess.gg/champions/set10/bard","https://cdn.lolchess.gg/upload/images/champions/Bard_1698737205-Bard.jpg","Bard","2","Jazz","Dazzler","550","20","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.70","https://cdn.lolchess.gg/upload/images/champion-skills/Bard_1698373810-bard_meeps.png","15/60",""
"https://lolchess.gg/champions/set10/blitzcrank","https://cdn.lolchess.gg/upload/images/champions/Blitzcrank_1698737323-Blitzcrank.jpg","Blitzcrank","4","Disco","Sentinel","1000","60","90","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.60","https://cdn.lolchess.gg/upload/images/champion-skills/Blitzcrank_1698376466-blitzcrankp.blitzcranknewicons.png","50/110",""
"https://lolchess.gg/champions/set10/caitlyn","https://cdn.lolchess.gg/upload/images/champions/Caitlyn_1698738059-Caitlyn.jpg","Caitlyn","4","8-bit","Rapidfire","700","30","70","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.80","https://cdn.lolchess.gg/upload/images/champion-skills/Caitlyn_1698377944-caitlyn_aceinthehole.png","0/75",""
"https://lolchess.gg/champions/set10/corki","https://cdn.lolchess.gg/upload/images/champions/Corki_1698738167-Corki.jpg","Corki","1","8-bit","Big Shot","450","15","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Corki_1698378909-corki_phosphorusbomb.png","15/60",""
